Date,Close,Volume,mom,mom1,mom2,mom3,ROC_5,ROC_10,ROC_15,ROC_20,EMA_10,EMA_20,EMA_50,EMA_200,DTB4WK,DTB3,DTB6,DGS5,DGS10,Oil,Gold,DAAA,DBAA,GBP,JPY,CAD,CNY,AAPL,AMZN,GE,JNJ,JPM,MSFT,WFC,XOM,FCHI,FTSE,GDAXI,DJI,HSI,IXIC,SSEC,S&P,NYSE,TE1,TE2,TE3,TE5,TE6,DE1,DE2,DE4,DE5,DE6,CTB3M,CTB6M,CTB1Y,Name,AUD,Brent,CAC-F,copper-F,WIT-oil,DAX-F,DJI-F,EUR,FTSE-F,gold-F,HSI-F,KOSPI-F,NASDAQ-F,GAS-F,Nikkei-F,NZD,silver-F,RUSSELL-F,S&P-F,CHF,Dollar index-F,Dollar index,wheat-F,XAG,XAU
2009-12-31,625.390015,,,,,,,,,,,,,,0.04,0.06,0.2,2.69,3.85,,,5.33,6.39,,,,,,,,,,,,,,,,,,,,,,3.81,3.79,3.65,0.02,0.16,1.06,2.54,6.19,6.33,6.35,,,,RUT,0.35,-0.13,0.15,0.09,0.1,0.48,-1.19,-0.12,0.27,0.34,1.68,-0.07,-0.96,-2.4,0.67,0.03,0.26,-1.08,-1,-0.11,-0.08,-0.06,-0.48,0.3,0.39
2010-01-04,640.099976,0.921723263,0.0235212598,,,,,,,,,,,,0.05,0.08,0.18,2.65,3.85,0.0268295755,0,5.35,6.39,-0.0042219698,-0.0044666988,-0.0106443642,-0.0019910695,0.0155649265,-0.0046090543,0.021150033,0.0041918333,0.0283177359,0.0154199803,0.0122267506,0.0140783102,0.0197239285,,,0.0149510368,,0.0173060493,,0.0160434171,0.0197329246,3.8,3.77,3.67,0.03,0.13,1.04,2.54,6.21,6.31,6.34,-0.1,-0.0438596491,-0.0148698885,RUT,1.73,2.81,1.99,1.36,2.71,0.96,1.28,0.61,1.74,2.05,-0.52,0.54,1.51,5.6,0.31,1.52,3.26,1.61,1.62,-0.57,-0.59,-0.42,3.12,3.91,2.1
2010-01-05,638.48999,-0.3759031919,-0.0025152102,0.0235212598,,,,,,,,,,,0.03,0.07,0.17,2.56,3.77,0.0026987242,0.0015604102,5.24,6.3,-0.0076276709,-0.0098384126,-0.0014409222,1.46694245184E-05,0.0017288538,0.0058999853,0.0051779935,-0.0115955473,0.0193699426,0.0003230371,0.0274524158,0.0039044974,-0.0002640924,0.0040361791,-0.0027181096,-0.0011281628,0.0209089008,0.000125644,0.0118439542,0.0031156762,0.0038393449,3.74,3.7,3.6,0.04,0.14,1.06,2.53,6.13,6.23,6.27,-0.0555555556,-0.0733944954,-0.0339622642,RUT,-0.08,0.59,-0.11,0.24,0.32,-0.14,-0.04,-0.31,0.38,0.04,2.03,-0.18,-0.08,-4.2,0.47,-0.07,1.96,-0.2,0.31,0.43,0.03,0.12,-0.9,1.42,-0.12
2010-01-06,637.950012,0.9962344742,-0.000845711,-0.0025152102,0.0235212598,,,,,,,,,,0.03,0.06,0.15,2.6,3.85,0.0168827991,0.0060093479,5.3,6.34,0.0020668147,0.0084184529,-0.0073112073,0.0001906997,-0.0159063072,-0.0181156876,-0.00515132,0.0081338495,0.0054944597,-0.0061369188,0.0014250445,0.0086430282,0.0011861741,0.0013580806,0.0004095279,0.0001570331,0.006153161,-0.0033004895,-0.0085199093,0.0005455205,0.0031040763,3.82,3.79,3.7,0.03,0.12,1.04,2.49,6.19,6.28,6.31,-0.1176470588,0,0.015625,RUT,0.91,1.61,0.15,2.41,1.72,-0.01,0.01,0.31,0.16,1.59,0.79,0.78,-0.36,6.6,0.19,0.56,2.15,-0.02,0.07,-0.56,-0.24,-0.17,2.62,2.25,1.77
2010-01-07,641.969971,0.0599317066,0.0063013699,-0.000845711,-0.0025152102,0.0235212598,,,,,,,,,0.02,0.05,0.16,2.62,3.85,-0.0062560154,0.0002212389,5.31,6.33,-0.0056085183,0.0111957639,0.0020350809,-7.33320622442E-05,-0.0018485946,-0.0170132325,0.0517799353,-0.0071372385,0.0198088124,-0.0103997075,0.0362859468,-0.0031418739,0.0017746921,-0.0005967098,-0.0024808413,0.0031380432,-0.0065674654,-0.0004519767,-0.0188798857,0.0040012012,0.00219987,3.83,3.8,3.69,0.03,0.14,1.02,2.48,6.17,6.28,6.31,0.0666666667,0.0198019802,0.0076923077,RUT,-0.41,-0.46,0.15,-1.9,-0.63,-0.12,0.28,-0.66,0.06,-0.25,-0.6,-1.27,-0.05,-3.38,-0.09,-0.72,0.94,0.5,0.4,0.58,0.58,0.54,-1.85,0.22,-0.58
2010-01-08,644.559998,-0.1671681832,0.0040344987,0.0063013699,-0.000845711,-0.0025152102,3.0652844689,,,,,,,,0.02,0.05,0.15,2.57,3.83,0.0016949153,-0.00309666,5.32,6.32,0.0056564685,-0.0078166293,-0.0040618956,-4.4002464138E-05,0.006648338,0.0270769538,0.0215384615,0.0034379902,-0.0024559276,0.0068965187,-0.0092687267,-0.0040115471,0.0050536284,0.0013570485,0.0030318839,0.001068184,0.0012259298,0.0074432611,0.0010088998,0.0028817272,0.004249421,3.81,3.78,3.68,0.03,0.13,1,2.49,6.17,6.27,6.3,-0.0625,-0.067961165,-0.0190839695,RUT,0.88,-0.17,0.53,-0.7,0.11,0.27,0.2,0.66,0.02,0.45,0.06,0.43,0.67,-0.98,1.03,0.61,0.68,0.64,0.35,-0.98,-0.58,-0.56,2.07,1.26,0.38
2010-01-11,643.98999,-0.0304834848,-0.0008843366,0.0040344987,0.0063013699,-0.000845711,0.6077197541,,,,,,,,0.01,0.04,0.13,2.58,3.85,-0.0024172105,0.0232970934,5.35,6.32,0.005542901,-0.0061299479,0.0038842494,-0.0001466813,-0.0088215914,-0.0240413863,0.0096385542,0.0001557701,-0.0033572292,-0.0127201566,-0.0020790713,0.0112198797,-0.0005067328,0.0007046913,0.0004786889,0.0043133342,0.0051473659,-0.0020542343,0.0052418477,0.0017467554,0.0031917292,3.84,3.81,3.72,0.03,0.12,0.97,2.47,6.19,6.28,6.31,-0.1333333333,-0.0104166667,0.0038910506,RUT,0.76,-0.49,-0.07,1.21,-0.28,-0.12,0.36,0.7,-0.03,1.1,0.84,-0.13,-0.34,-5.13,-0.49,0.64,-0.13,-1.01,0.09,-0.66,-0.64,-0.61,1.08,0.65,1.44
2010-01-12,635.5,0.1081775844,-0.0131834192,-0.0008843366,0.0040344987,0.0063013699,-0.4682908185,,,,,,,,0.02,0.05,0.14,2.49,3.74,-0.0212018415,-0.0015177797,5.25,6.22,0.0024067643,-0.0109890215,0.0052234475,1.46702853371E-05,-0.0113750081,-0.0227150644,0.0005966587,0.005294254,-0.0233549747,-0.0066072019,-0.0249999661,-0.004978748,-0.0106453327,-0.0071143357,-0.0161410479,-0.0034443456,-0.0037872892,-0.0130166597,0.0190541013,-0.0093811655,-0.010551629,3.72,3.69,3.6,0.03,0.12,0.97,2.48,6.08,6.17,6.2,0.0769230769,-0.0315789474,-0.0348837209,RUT,-1.2,-2.06,-1.04,-2.68,-2.1,-1.42,-0.15,-0.13,-0.59,-1.89,-1.1,0.27,-0.96,2.51,1.23,-0.47,-2.36,-0.67,-0.74,0.22,-0.05,-0.06,-6.33,-1.78,-2.19
2010-01-13,643.559998,-0.1157297462,0.0126829237,-0.0131834192,-0.0008843366,0.0040344987,0.8793770506,,,,,,,,0.02,0.06,0.15,2.55,3.8,-0.0139868796,-0.0208469055,5.32,6.3,0.0083217246,0.0038756806,-0.0080831409,2.93401402458E-05,0.0141055121,0.0138202044,0.0035778175,0.0063507282,0.0174752349,0.0093116063,0.0178062678,-0.0040028451,0.000202512,-0.0045829367,0.0033888839,0.0050351423,-0.0258901922,0.0112122553,-0.0309435416,0.0083259256,0.0080985476,3.78,3.74,3.65,0.04,0.13,0.98,2.5,6.15,6.24,6.28,0.0714285714,0.0543478261,0.0240963855,RUT,0.43,-1.25,0.02,1.53,-1.41,0.3,0.38,0.12,-0.43,0.66,-2.06,-1.68,0.91,2.54,-1.56,0.26,1.62,0.82,0.66,-0.15,-0.17,-0.13,-0.51,1.97,0.98
2010-01-14,646.429993,-0.0611841664,0.0044595609,0.0126829237,-0.0131834192,-0.0008843366,0.6947399725,,,,639.7939943,,,,0.02,0.05,0.14,2.51,3.76,-0.003891539,0.0097582613,5.17,6.22,0.0029405426,-0.001815548,-0.0071788902,2.93392794274E-05,-0.005791607,-0.01363181,-0.0077242424,0.0020008773,0.0099434802,0.0200988138,0.0143456963,0.0001435625,0.0037266769,0.0045126875,0.0043164751,0.0027882143,-0.001455284,0.0038303602,0.0135192922,0.0024264252,0.0024736926,3.74,3.71,3.62,0.03,0.12,1.05,2.46,6.08,6.17,6.2,-0.0666666667,-0.0309278351,-0.0156862745,RUT,0.82,-0.63,0.36,-0.35,-0.33,0.33,0.33,-0.06,0.36,0.55,-0.6,1.14,0.31,-2.53,1.59,0.27,0.57,0.76,0.33,0.12,-0.13,-0.16,-1.49,0.32,0.39
2010-01-15,637.960022,0.2154500409,-0.0131026888,0.0044595609,0.0126829237,-0.0131834192,-1.0239506051,2.0099468649,,,639.460544791,,,,0.03,0.06,0.15,2.44,3.7,-0.0175173283,-0.0090050516,5.12,6.18,-0.0039212685,-0.0056646763,0.0054719562,0,-0.0167120281,-0.001648991,-0.0155688613,-0.0082949311,-0.0226001124,-0.0032299097,-0.0313901345,-0.0081802382,-0.0152872641,-0.0077844188,-0.0188532197,-0.0094205634,-0.0028912469,-0.0124096792,0.0026751414,-0.0108231305,-0.0123151956,3.67,3.64,3.55,0.03,0.12,1.06,2.48,6.03,6.12,6.15,0.0714285714,-0.0531914894,-0.0278884462,RUT,-0.94,-0.91,-0.53,-0.62,-1.75,-1.89,-0.94,-0.81,-0.83,-1.09,-0.43,0.38,-1.38,1.84,0.73,-0.55,-1.24,-1.42,-1.14,0.64,0.77,0.77,-3.27,-1.45,-1.08
2010-01-19,649.150024,-0.0071237494,0.0175402872,-0.0131026888,0.0044595609,0.0126829237,0.8012599699,1.4138491391,,,641.222268283,,,,0.03,0.06,0.14,2.48,3.73,0.0130836326,0.0044326241,5.22,6.21,0.0053325302,0.0049476253,0.0026239067,-2.93384186593E-05,0.0442383146,0.003696728,0.0060827247,0.0122366794,-0.0091575321,0.007777025,0.0071225427,0.0023150918,0.0139819746,0.0105767124,0.0171052203,0.0109126402,0.001100034,0.0141652333,0.0070474104,0.0124996265,0.0118108763,3.7,3.67,3.59,0.03,0.11,0.99,2.48,6.07,6.15,6.18,-0.0666666667,0.0449438202,0.0163934426,RUT,-0.17,0.69,0.79,0.5,1.31,0.91,0.59,-0.59,0.35,0.85,0.52,0.16,1.48,-2.35,-0.74,-0.95,0.49,1.54,1.19,0.89,0.58,0.57,-2.08,0.7,0.45
2010-01-20,639.609985,0.0181445682,-0.0146962006,0.0175402872,-0.0131026888,0.0044595609,0.6467324941,0.1754130867,,,640.929125868,,,,0.03,0.05,0.14,2.45,3.68,-0.0197518359,-0.0112533098,5.24,6.16,-0.0035856844,-7.67113699725E-05,0.0130851992,7.33481985683E-05,-0.0153924484,-0.0143405845,-0.00241844,-0.0030603826,0.0027727126,-0.0163987138,-0.0162659471,-0.0179009391,-0.0201313257,-0.0167419948,-0.020906988,-0.0114008763,-0.0180741258,-0.0125624475,-0.0292662802,-0.0105978293,-0.015294867,3.65,3.63,3.54,0.02,0.11,0.92,2.48,6.02,6.11,6.13,0,-0.0107526882,-0.0120967742,RUT,-1.73,-1.69,-2.06,-2.65,-1.77,-2.08,-1.06,-1.4,-1.72,-2.4,-2.02,0,-1.2,-1.1,-0.46,-1.64,-4.89,-1.3,-1.03,1.05,1.09,1.08,-2.08,-4.69,-2.32
2010-01-21,628.359985,0.4289999501,-0.0175888436,-0.0146962006,0.0175402872,-0.0131026888,-2.3618641692,-1.50325681,,,638.643827529,,,,0.02,0.06,0.14,2.38,3.62,-0.0204081633,-0.0107118947,5.21,6.13,-0.0057043599,-0.0087617663,0.0051664753,5.86742552037E-05,-0.0172861946,0.0066783591,-0.0290909091,-0.0181120639,-0.0658986375,-0.0189604446,0.0064701653,-0.0195502281,-0.0169994629,-0.0158094211,-0.0178687581,-0.0201138813,-0.0198955473,-0.0111511398,0.002225023,-0.0189449037,-0.0211969603,3.6,3.56,3.48,0.04,0.12,0.92,2.51,5.99,6.07,6.11,0,-0.0543478261,-0.0285714286,RUT,-0.86,-2.28,-1.65,-1.82,-1.98,-1.78,-2.07,-0.07,-1.55,-0.86,-2.12,0.78,-1.39,2.17,1.21,-1.18,-2.07,-1.96,-2.03,-0.15,0.03,-0.03,2.35,-2.8,-1.49
2010-01-22,617.119995,-0.0968303636,-0.0178878195,-0.0175888436,-0.0146962006,0.0175402872,-4.5341333659,-3.8708938303,,,634.730403432,,,,0.02,0.06,0.14,2.37,3.62,-0.0209651899,-0.0218813445,5.21,6.15,-0.0058642069,-0.0064496146,0.0064724919,-0.0001026739,-0.0495986699,-0.0409888081,0.00561804,-0.0120368921,-0.0340404777,-0.0349883705,-0.0264285714,-0.0089954877,-0.0107141817,-0.0060167752,-0.0089874123,-0.0208760271,-0.0065423186,-0.0266628032,-0.0095841908,-0.0221409881,-0.0200503033,3.6,3.56,3.48,0.04,0.12,0.94,2.53,6.01,6.09,6.13,0,-0.0344827586,-0.0042016807,RUT,-0.02,-2.35,-1.09,1.61,-2.02,-0.81,-1.81,0.33,-0.6,-1.22,-0.37,-2.72,-2.35,3.63,-2.31,-0.49,-3.3,-1.47,-1.8,-0.05,-0.11,-0.05,-0.45,-1.73,-0.2
2010-01-25,618.109985,-0.2782021857,0.0016042099,-0.0178878195,-0.0175888436,-0.0146962006,-3.111486036,-4.1035765611,-1.1640783872,,631.708509172,,,,0.02,0.06,0.14,2.39,3.66,0.0087542088,0.0103782288,5.29,6.22,0.0086939465,0.0067364772,-0.000472858,-1.46692093296E-05,0.0269026549,-0.0092234374,0.0161390431,0.0003164557,0.0012767875,0.0124309742,0.0146735143,-0.0037821484,-0.0101890009,-0.0080520828,-0.0112284664,0.0023473832,-0.0061578597,0.0024985421,-0.0109240984,0.0045980975,0.0060478423,3.64,3.6,3.52,0.04,0.12,0.93,2.56,6.08,6.16,6.2,0,0.0238095238,0.0084388186,RUT,0.38,1.18,-1.02,1.38,0.97,-1.09,-0.11,0.1,-0.73,0.55,-0.37,-0.48,0.04,-1.67,-0.76,0.62,0.46,-0.57,0.14,-0.14,-0.1,-0.11,-0.05,0.29,0.48
2010-01-26,612.159973,0.0559022982,-0.009626138,0.0016042099,-0.0178878195,-0.0175888436,-5.698228396,-4.9426260492,-4.36494361,,628.154229868,,,,0.02,0.07,0.14,2.38,3.65,-0.003070761,-0.0018260671,5.3,6.24,-0.0063457993,-0.0086822318,0.0049200492,-4.40082735555E-05,0.0141330576,-0.0068988032,-0.0012218081,-0.0068016449,-0.019637848,0.0061391542,-0.0242227043,0.0010630221,0.0066607455,0.0031557321,0.0066697905,-0.0002520691,-0.0237502487,-0.0031979685,-0.0242426907,-0.0042031993,-0.0063352518,3.63,3.58,3.51,0.05,0.12,0.94,2.59,6.1,6.17,6.22,0,0.011627907,-0.0041841004,RUT,-0.64,-0.54,0.66,-1.63,-0.73,0.62,-0.02,-0.54,0.17,0.25,-2.37,-2.12,-0.11,-4.14,-1.62,-0.9,-1.66,-0.81,-0.48,0.56,0.33,0.31,-0.98,-2.34,-0.02
2010-01-27,618.380005,0.1240957668,0.010160795,-0.009626138,0.0016042099,-0.0178878195,-3.3192070946,-2.6939409914,-3.1496163315,,626.377098074,,,,0.01,0.08,0.16,2.43,3.66,-0.0137940271,0.0013720558,5.28,6.23,0.0019254351,0.0035702333,0.0014122964,5.86802804917E-05,0.0094202583,0.0273685715,-0.0030581651,0.0103519349,0.0231530443,0.0057627119,0.0448314561,-0.0057645178,-0.0124085876,-0.0112565906,-0.0045387719,0.0041072126,-0.0037922579,0.0080227306,-0.0108588374,0.0048801522,0.0010372378,3.65,3.58,3.5,0.07,0.15,0.95,2.57,6.07,6.15,6.22,0.1428571429,0.0344827586,0.0210084034,RUT,-0.39,-1.43,-1.25,-3.42,-1.39,-0.57,0.56,-0.4,-1.09,-1.23,-0.62,-0.89,0.7,-3.85,-0.68,-0.23,-1.37,1,0.67,0.38,0.33,0.31,-1.67,-1.08,-1.02
2010-01-28,607.929993,0.0250567763,-0.0168990134,0.010160795,-0.009626138,0.0016042099,-3.2513197033,-5.5363921174,-4.7057008285,,623.02307897,,,,0.01,0.08,0.15,2.41,3.68,-0.0002715915,-0.0061657913,5.3,6.25,-0.0021634198,-0.0019121401,0.0023505077,-1.46692093296E-05,-0.0413219871,0.0267209695,-0.0085888962,0.0056746533,0.0038138315,-0.0171890799,0.0088652479,-0.0088495879,-0.0188866453,-0.0137613426,-0.0182290391,-0.0113030857,0.0161382565,-0.0190914391,0.0025233089,-0.0118177412,-0.0111745294,3.67,3.6,3.53,0.07,0.14,0.95,2.57,6.1,6.17,6.24,-0.0625,-0.0333333333,-0.0082304527,RUT,-0.18,-0.15,-1.99,-3.89,-0.04,-1.28,-1.3,-0.4,-1.12,-0.07,1.33,1.27,-2.13,-2.58,1.46,-0.16,-2.49,-1.85,-1.39,0.2,0.29,0.29,0.46,-2.11,-0.05
2010-01-29,602.039978,-0.0072536865,-0.0096886403,-0.0168990134,0.010160795,-0.009626138,-2.4436117971,-6.8669485452,-6.2199160091,,619.207969702,631.4379944,,,0.02,0.08,0.15,2.34,3.63,-0.0104591144,-0.0087316176,5.24,6.2,-0.0097986197,0.005480151,0.0036581934,0,-0.0362787508,-0.004919424,-0.004950495,-0.0147335112,-0.0136778369,-0.0336076818,-0.0007030228,-0.0081588517,0.0137361903,0.0083175862,0.0123566575,-0.0052497498,-0.0115137874,-0.0145249665,-0.0016201878,-0.0098291737,-0.0105232933,3.61,3.55,3.48,0.06,0.13,0.96,2.57,6.05,6.12,6.18,0,-0.0574712644,-0.0290456432,RUT,-0.97,-0.93,1.45,-1.42,-1.02,0.66,-0.45,-0.71,0.59,-0.06,-0.27,-2.44,-1.77,-0.14,-2.5,-0.52,-0.12,-0.74,-0.81,0.84,0.7,0.71,-2.85,-0.06,-0.44
2010-02-01,609.25,-0.2466796604,0.0119759854,-0.0096886403,-0.0168990134,0.010160795,-1.4333994297,-4.5002854427,-5.4781553478,-2.5807919239,617.397429756,629.324852076,,,0.05,0.1,0.17,2.38,3.68,0.0214138641,0.0074177098,5.3,6.25,-0.0020256605,0.0054282155,-0.0077570093,1.46694245184E-05,0.0139018848,-0.0521489577,0.0105721393,0.0036589086,0.0177196204,0.0081618169,0.0175870559,0.0271612603,0.0060302956,0.0113520096,0.0081461315,0.0117409675,0.0060510797,0.011106644,-0.0160345276,0.0142661086,0.0180787589,3.63,3.58,3.51,0.05,0.12,0.95,2.57,6.08,6.15,6.2,0.1333333333,0.0487804878,0.0170940171,RUT,0.81,2.31,0.67,1.08,2.11,0.9,1.2,0.47,0.92,1.97,-0.09,0,0.95,5.91,0.3,1.1,2.4,1.15,1.47,-0.37,-0.29,-0.28,0.26,3.15,2.39
2010-02-02,614.049988,0.1647852541,0.0078785195,0.0119759854,-0.0096886403,-0.0168990134,0.3087452763,-5.4070761307,-4.6491408974,-4.0696748909,616.788803983,627.870103117,,,0.04,0.1,0.17,2.37,3.67,0.0376293509,0.0225494708,5.28,6.23,0.0024786037,-0.0036580101,-0.0042573232,-0.0002933842,0.0058029221,-0.0063094135,0.0369230769,0.0142653669,0.0232146853,0.0017599085,-0.0048392326,0.011786023,0.0133226315,0.006841465,0.009758665,0.0109291645,0.0014043687,0.0086864906,-0.0022599123,0.0129729485,0.0133000717,3.63,3.57,3.5,0.06,0.13,0.95,2.56,6.06,6.13,6.19,0,0,-0.0042016807,RUT,-0.57,4.04,1.3,0.19,3.76,1.05,0.86,0.24,0.8,1.19,0,-0.57,0.75,0.37,1.77,0.62,0.5,0.92,1.01,-0.18,-0.3,-0.29,2.66,0,0.71
2010-02-03,610.659973,-0.0977126206,-0.0055207476,0.0078785195,0.0119759854,-0.0096886403,-1.2484284643,-4.5261976328,-3.9087375295,-4.358724089,615.674471077,626.231043105,,,0.05,0.1,0.17,2.4,3.73,-0.0032379225,0.0038253825,5.36,6.31,-0.004505358,0.0045560556,0.0043701167,0.0002787968,0.0172061472,0.0082966049,-0.0100890208,-0.0056258945,-0.0064117881,0.0059732961,-0.0225773525,-0.0053763591,-0.0048948783,-0.0056971232,-0.006580131,-0.0025541603,0.0221929954,0.0003880501,0.0235532649,-0.0054743114,-0.0082828024,3.68,3.63,3.56,0.05,0.12,0.95,2.58,6.14,6.21,6.26,0,0.023255814,0.0126582278,RUT,-0.42,-0.18,-0.51,-3.79,-0.32,-0.8,0.17,-0.46,-0.51,-0.54,2.2,1.29,0.93,-0.64,0.48,-2.06,-2.55,-0.07,-0.07,0.34,0.47,0.46,-3.47,-1.92,-0.5
2010-02-04,589.679993,0.3673453196,-0.034356239,-0.0055207476,0.0078785195,0.0119759854,-3.0019903953,-6.1557057934,-8.3721805531,-7.5664265369,610.948202335,622.749990714,,,0.04,0.09,0.16,2.29,3.62,-0.0497661123,-0.0286931181,5.27,6.24,-0.0094302645,-0.0157418765,0.0096063289,0,-0.0360387047,-0.0265322926,-0.0383692446,-0.0155587299,-0.0481509792,-0.0275933995,-0.0383795323,-0.028228184,-0.0274735194,-0.0216820958,-0.0244794448,-0.0261300633,-0.0183591344,-0.0298871166,-0.0028386566,-0.0311406779,-0.036174073,3.58,3.53,3.46,0.05,0.12,0.97,2.62,6.08,6.15,6.2,-0.0588235294,-0.0909090909,-0.0458333333,RUT,-2.15,-4.99,-2.69,-3.1,-4.99,-2.44,-2.56,-1.17,-2.07,-4.41,-1.31,-0.28,-2.84,-0.06,-0.67,-1.43,-5.93,-3.45,-3.17,0.69,0.67,0.69,1.17,-6.65,-4.16
2010-02-05,592.97998,0.098846526,0.0055962336,-0.034356239,-0.0055207476,0.0078785195,-1.5048831192,-3.9117214149,-8.268492115,-7.6311966623,607.68125282,619.914751599,,,0.03,0.1,0.17,2.23,3.59,-0.0270750718,-0.0233094853,5.24,6.21,-0.0070932644,-0.0021250754,-0.0010261194,0.0002347108,0.0177557611,0.0125064428,-0.0155860963,0,-0.001303755,0.0064655172,0.0133038068,0.0012361248,-0.034015041,-0.0152549775,-0.0178738652,0.0010048591,-0.033259881,0.0073821229,-0.0186645257,0.0028971189,-0.0007527944,3.56,3.49,3.42,0.07,0.14,0.97,2.62,6.04,6.11,6.18,0.0625,-0.0375,-0.0262008734,RUT,0.43,-3.52,-3.45,-0.76,-2.67,-1.38,-0.38,-0.52,-1.52,-0.96,-3.97,-2.97,0.59,1.83,-2.8,0.12,-3.39,-0.12,-0.19,0.61,0.64,0.65,-0.32,-0.85,0.19
